gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76894.47743480284	3.070356702570299	0.1555605031932542	19.73737960178727	1.0298208858805734e-86	2.358289828666513e-84
ENSG00000154734	22852.260099564348	3.4408223751343185	0.17920824431397878	19.200134392845698	3.691357074790726e-82	4.226603850635381e-80
ENSG00000154723	7340.342941891762	2.580741913772023	0.16411652878238775	15.725057877588846	1.0185771518848756e-55	7.77513892605455e-54
ENSG00000180509	30215.496601529474	2.942041713881954	0.20043315479354495	14.678418432880466	8.863373237208088e-49	5.07428117830163e-47
ENSG00000183145	9989.010164752783	2.8897115013150634	0.24890605922252013	11.609647070631105	3.6813190513110926e-31	1.6860441255004803e-29
ENSG00000276289	11789.291881910884	2.858905371552741	0.4642175865460204	6.158546023265153	7.341584979256302e-10	2.802038267082822e-8
ENSG00000277277	724.3731076957176	0.9264529346121759	0.264110980478488	3.5078168008529125	4.518000605511069e-4	0.014780316266600499
ENSG00000185437	2256.668617873639	0.5132433737434291	0.19123875518760755	2.683783280433566	0.007279427638846927	0.2083736161619933
ENSG00000160188	1876.2142952349711	-0.5388551172275979	0.2190708113091512	-2.4597303219330726	0.013904144967437434	0.34247107542592553
ENSG00000154719	1373.8636919528665	-0.590706004608556	0.24274272766578386	-2.433465300026864	0.014955068795891945	0.34247107542592553
ENSG00000157557	3474.044847559705	-0.4920383448957167	0.2099712265461265	-2.3433608165718156	0.0191108912260615	0.39785400825164396
ENSG00000160207	885.3549485399835	0.6312714517670877	0.27470985158109984	2.297957092305893	0.021564231346461765	0.39872210332157454
ENSG00000177692	2181.2370178291453	0.45761932184685933	0.2007505743184893	2.2795417816381915	0.02263487922786231	0.39872210332157454
ENSG00000186930	103.43653148229542	-1.1281161433588687	0.5642868535681251	-1.9991891291202546	0.04558789432954947	0.7233150860788097
ENSG00000205929	1354.5961779519203	0.47097898922871995	0.2375204182968405	1.9828989549863254	0.047378717428742986	0.7233150860788097
